filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
blues.00060.au,0.43089412510360664,0.19622159004211426,1946.5656516997744,1979.9099336776742,3955.8677460756094,0.09745368130804953,-67.77097956346114,111.70418437555524,-34.64610469268643,61.33489585153121,0.05025166845490151,30.56061363001247,-12.701724815937999,21.15956662935581,-13.131144900464413,16.28229438768078,-6.335244723935733,12.295831835524067,-12.477988352815052,1.6812779029386036,-5.142068413428153,4.644001792502817,-6.919217464902766,1.0407183413280325,-4.736870881358987,-0.6600370657688395,blues
blues.00082.au,0.33889608580455005,0.25135019421577454,2141.4616556443502,2168.0155600412095,4627.997015135207,0.10515129160216719,-29.362092860472995,108.66795011939321,-25.573164853949752,38.42946989037161,-18.325090836914402,21.781095676617234,-25.161657430048788,22.387048391921347,-17.60412666491205,14.66011923066703,-12.078506038395568,5.456503986630319,-7.687712605886286,7.410599664287275,-11.319176913741215,7.229288382288959,-9.466552123138445,1.9300588475540834,-6.328475554233785,-1.3048123730193188,blues
blues.00030.au,0.26301610448194723,0.17008137702941895,1379.0817422026994,2004.0008502510527,3015.831763677922,0.03937580120452786,-206.98758963234468,117.78146758510665,23.25624500703924,28.29406821045288,-1.0995978611616801,18.864939026467592,-21.953711251602975,17.855117543027646,-25.58335724710046,2.1285517263302336,-17.789053992867423,-8.015466745385698,-17.616341656089926,-8.138553788821989,-8.646157175378246,-15.53898754871225,-15.331506013956618,-9.664871578433953,-10.10331036710399,-17.835099945872525,blues
blues.00007.au,0.30792101611863837,0.13178548216819763,1451.75414666004,1577.3699166309125,2955.348796076819,0.06143500266060371,-179.39544684232592,136.4592443182947,-26.656358930559175,39.98802679164439,5.289679318941769,10.924426906374084,-20.561889109447083,8.513764278793532,-11.356908197621307,-3.469077423708092,-8.414554364140677,-6.954826968424708,-3.544535424055757,-8.051242199794862,-8.959536715733194,-8.424337147616766,-10.558884909220222,-10.788158953621572,-4.693748520349892,-8.638613351936613,blues
blues.00064.au,0.3324795908835457,0.11741276830434799,2553.2324147739323,2280.1286685771834,5148.102203463623,0.14685171971749225,-85.15025014369667,88.80672183253607,-16.32261109046392,59.22451605909578,-35.99024193929454,14.385729928184654,-22.308612302206374,9.647323007313698,-14.820338570248497,11.177996593919328,-14.804456885245056,8.478452589134806,-19.590225504385565,6.413210323676926,-13.779667262504873,6.112036565509682,-13.154643802301814,3.9334558973079887,-7.615453547497418,3.752625581331539,blues
blues.00090.au,0.37768776740678095,0.13189010322093964,1613.3157252262756,1972.2022614982557,3470.4040149417087,0.058235853449109906,-177.49076092809312,115.3461033181817,9.96987254292889,54.05132860060142,7.616936075487586,28.31429864936017,-9.058337878526208,20.05525763244569,-15.045015835288194,6.224081804805214,-5.689818347405277,1.3842423611737784,-5.837235272272469,5.016451917105735,-0.748612350637362,5.065468044600357,-5.084879481839438,-2.7955000128737355,2.435524055968941,-5.375209218828232,blues
blues.00075.au,0.4664359092849299,0.1921537071466446,2225.216647159957,2255.1950050803102,4703.188227130901,0.10858664497871517,-86.35233803031846,92.67524456941213,-15.377407120009796,54.059777016997366,0.8832086387437844,31.5639277077932,-14.615399220109914,23.320065852373606,-14.975420636151485,15.335824233474819,-7.047201621094149,12.181272528322115,-6.097625448156379,7.0254202640769785,-5.805348221623653,7.432128470759902,-6.075142762055922,3.3829910005057755,-4.276934184258764,1.238193206433147,blues
blues.00097.au,0.3751581891905781,0.19828161597251892,1236.5742801274876,1602.309124322475,2604.15091972233,0.04462595842202012,-148.63917335270781,145.7463111608904,-9.363638697385543,48.45377028259567,10.557437175626577,18.006431938804422,-2.6260479848541673,16.955489493092795,-11.512661289270499,8.724416910550925,-8.164550812215623,3.2306925242175657,-0.667059721206654,-0.7277910884783542,-6.82116029849202,-3.9425472527681684,-15.739370163369387,-5.604687664541438,-5.802769757492512,-0.048728947176601194,blues
blues.00081.au,0.380260210341482,0.24826228618621826,2116.9429590051586,1956.6110562233207,4196.10796004257,0.12727247303115324,-26.929784696801033,107.33400763152126,-46.80999313926354,40.93263380897834,-21.463775815685374,24.81627494577181,-18.94557134827819,15.253459461941617,-15.050104081489566,12.26282276274354,-15.234049901082212,14.3366121677627,-13.821768769106322,7.562788734031475,-6.181372492914471,0.3301650057813506,-6.829571234249953,0.9659217436842501,-7.570824746827891,2.9189869428522006,blues
blues.00068.au,0.2899323200045883,0.1031152680516243,2513.716817329611,2345.230614186449,5247.443269428454,0.13514619715073528,-113.16777334117403,88.70933416046076,-8.925342997009773,49.48749508588593,-34.58000748036988,15.865090535717043,-17.744376043118205,14.714098925474232,-11.20761583703544,15.366564082219778,-15.081729964066572,8.748788169713427,-18.630898960865593,5.4742180526304,-9.267429646039165,8.017964216148819,-9.552074369724686,5.873593845563581,-4.402835065865359,3.6153485806440084,blues
blues.00086.au,0.3658649459185888,0.12499090284109116,1245.609395020071,1634.4150288075803,2517.6847759046054,0.04882661329334365,-212.79036780977233,139.0573657818252,9.459220940013997,35.441294434118134,12.717557332068075,20.413845210947162,-5.570223438832111,10.885778782859203,-8.735100629368306,8.054606209104978,0.16672752973421429,2.6407175993286,-1.0250163076377583,-1.4069319340742603,-4.704801604403894,1.1386132574221959,-9.47210102265518,-2.187313611662398,-4.100536664746797,-3.352783704192728,blues
blues.00040.au,0.39772477616922824,0.13489176332950592,2272.495078762922,2356.855937297162,5108.319110693208,0.09765700585332818,-110.26007922206821,90.70181194764976,-2.527486906572653,74.05327233368662,-11.747300637061128,39.214671427294086,-13.171819303028796,20.535273652741697,-17.163641371687177,12.82871270538781,-21.433579936270288,5.952405102540335,-8.033585673298187,4.239867716774857,-16.485552237979057,6.542502570684264,-5.695943480287576,-3.6408640279730276,-4.856883646988248,1.854516430711247,blues
blues.00085.au,0.3153629329663603,0.15021777153015137,1312.3081994305705,1673.9156134044702,2638.117380998452,0.059416496347716716,-180.12359623200518,131.42025859587565,0.5661882690446561,43.15292883053007,14.135186457586478,25.628554950440257,-5.313080143275158,12.040289561192683,-13.536840799430498,-1.0909933281759028,-7.60567482775302,2.7180541777625677,0.7725885194687436,1.9975884338154832,-6.09385814221626,3.4840419499288378,-8.341479093933648,3.2046482557858234,-0.9269435835974139,-2.2436863255044517,blues
blues.00042.au,0.37751908494777364,0.11100143939256668,2302.1130472489945,2367.695874713366,5188.551958869485,0.09786448759191177,-159.54499899370268,69.77960903137668,-4.396419620135893,76.85395431099586,3.9205283434389515,45.17317770479753,-4.866253983360079,32.201976391552094,-9.79695661850007,7.811904934659575,-21.827597047588775,9.683709852040357,-2.589124489166008,3.3073059308710575,-14.966982653344738,10.235809951210621,-4.084133497102833,-5.85018479274403,-2.474234263100272,6.6504175932377985,blues
